name,lat,lon
Ste-Catherine / St-Laurent,45.51001233950764,-73.56376379728317
Mackay / de Maisonneuve,45.49680823499591,-73.57910657374305
St-Patrick / Briand,45.46366064035559,-73.59586715698242
de Rouen / Lespérance,45.538859462962286,-73.5528177022934
St-Timothée / René-Lévesque,45.516142568178644,-73.55553340225015
Plessis / René-Lévesque,45.51937504116866,-73.55190977454185
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962
St-Mathieu / Tupper,45.49329131627625,-73.57821124847759
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788
Frontenac / Ste-Catherine,45.53006276144042,-73.54559183120728
Parthenais / Ste-Catherine,45.52610082630817,-73.5488421332866
Montcalm / de Maisonneuve,45.519131967116216,-73.55788965214742
Alexandre-DeSève / Ste-Catherine,45.5211897037242,-73.55379804968834
Métro Papineau (Dorion / De Maisonneuve),45.5238445756922,-73.55236601831166
Place d'Youville / St-Pierre,45.50071980272601,-73.55541569556863
Lebrun / Notre-Dame,45.59653748532998,-73.51166725158691
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942
Square-Victoria (Viger),45.50208503935104,-73.56294138360681
de Bordeaux / Ontario,45.52764935440388,-73.55826368197086
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784
Gascon / de Rouen,45.5353519228624,-73.55539619966294
de Maisonneuve / de Bleury,45.50710068509571,-73.56907725334167
La Fontaine / Alexandre-DeSève,45.52330366033427,-73.55799973011017
Ontario / Poupart,45.53181652808492,-73.5536502600371
Parc Martin-Luther-King (de Kent),45.50159494820827,-73.63293551999959
Métro Villa-Maria (de Monkland / Décarie),45.4790046017838,-73.61956179141998
Casgrain / de Castelnau,45.53665716166132,-73.61906187670684
Parc Benny (Benny / de Monkland),45.46691310542626,-73.6315867306621
Fullum / Sherbrooke,45.53378566312351,-73.56228053569794
Messier / Rachel,45.53451813633701,-73.56532464451448
de Bordeaux / Sherbrooke,45.529817997585944,-73.56293704368
Jeanne-Mance / Sherbrooke,45.50934693918775,-73.57122302055359
University / Prince Arthur,45.5075118991584,-73.57877546523923
Hutchison / Prince-Arthur,45.50975858607626,-73.57610732316971
André-Laurendeau / Rachel,45.54303187243879,-73.56256484985352
Atwater / Sherbrooke,45.4912258547597,-73.58763009309769
Drolet / Beaubien,45.533348,-73.605834
de Gaspé / Beaubien,45.531957916826386,-73.60700100660324
2e avenue / St-Joseph,45.544580831168204,-73.5717111825943
Métro Fabre (Fabre / Jean-Talon),45.546634811657086,-73.60776543617249
Métro D'Iberville (Louis-Hébert / Jean-Talon),45.552957242708004,-73.60235005617142
Drummond / Sherbrooke,45.500535752214155,-73.578113079202
Drolet / Marie-Anne,45.522402573414084,-73.58117669820786
Bercy / Rachel,45.53840340979245,-73.56196403503418
